Number,Title,Link,Author,Region,Study_focus,Year,Type,Events_record,Fatalities_record,Remarks
1,"Cross-Chapter Paper 5: Mountains, in: IPCC WGII Sixth Assessment Report",,"Adler, C. and Wester, P.",,,2022,RP,,,
2,Snow Avalanches,,C.Ancey,worldwide (mostly mountainous region),Review on features and approaches describing the movment of avalanches,2001,RP,,,
3,"Some notes on the history of snow and avalanche research in Europe, Asia and America",,"Ancey, C., Bakkehøi, S., Hutter, K., Issler, D., Jóhannesson, T., Lied, K., Nishimura, K., and Pudasaini, S.",worldwide (mostly mountainous region),Review on avalanche studies,2005,RP,,,check it
4,"Prospects of cryosphere-fed kuhl irrigation system nurturing high mountain agriculture under changing climate in the upper Indus Basin,",,"Ashraf, A. and Ahmad, I.",Karakoram ,Climate change/agriculture,2021,RP,Recorded events,Recorded fatalities,"upper IB of Pkistan, Kuhl Irrigation"
5,Climate warming enhances snow avalanche risk in the Western Himalayas,,"Ballesteros-Cánovas, J. A., Trappmann, D., Madrigal-González, J., Eckert, N., and Stoffel, M.",Western Himalaya,Avalanches/climate change context,2018,RP,,,Proceeding
6,Configurational energy and the formation of mixed flowing/powder snow and ice avalanches,,"Bartelt, P., Buser, O., Valero, C. V., and Bühler, Y.",Central Himalaya,Avalanche Modeling,2016,RP,,,
7,On avalanche prediction using neighbourhood criterion,,"Bhatnagar, V., Goyal, R. K., Chaudhury, S., Gupta, H. M., and Mondal, D.",Western Himalaya,Avalanche forecast,1994,RP,,,
8,Automated identification of potential snow avalanche release areas based on digital elevation models,,"Bühler, Y., Kumar, S., Veitinger, J., Christen, M., Stoffel, A., and Snehmani, S.",Western Himalaya,avalanche modeling/RS/GIS,2013,RP,,,Manali-Leh bato
9,Snow Avalanche Frequency Estimation (SAFE): 32 years of remote hazard monitoring in Afghanistan,,"Caiserman, A., Sidle, R. C., and Gurung, D. R.","eastern HKH, Western Pamir (Afghanistan)",snow avalanches/remote sensing,2022,RP,,,
10,"Avalanche forecasting in the central Asian countries of Afghanistan, Pakistan and Tajikistan",,"Chabot, D. and Kaba, A.","East HKH, Western Pamir, Karakoram",avalanche forecasting,2016,RP,,,
11,"Snow Avalanche as Disaster in Mountain Environment: A Case of Himachal Pradesh, International Journal of Geomatics and Geosciences",,"Chandel, V.",Western Himalaya,snow avalanche study,2015,RP,,,case study
12,Composite avalanche control scheme developed for the lower Himalayan zone: a case history,,"Chaudhary, V. and Mathur, P.",Western Himalaya,Avalanche control ,2004,RP,,,
13,Spatial performance of multiple reanalysis precipitation datasets on the southern slope of central Himalaya,,"Chen, Y., Sharma, S., Zhou, X., Yang, K., Li, X., Niu, X., Hu, X., and Khadka, N",Central Himalaya,reanalysis data,2021,RP,,,
14,The Avalanche Geodatabase Development and Hazard Mapping for the Bishkek-Osh Road in Kyrgyzstan,,"Chymyrov, A.",HMA ,Avalanche geodatabase,2019,RP,,,
15,Transhumant pastoralism in yak production in the Lower Mustang District of Nepal,,"Degen, A. A., Kam, M., Pandey, S. B., Upreti, C. R., Pandey, S., and Regmi, P.","Central Himalaya, HMA ",,2007,RP,,,
16,Snow avalanche in Guxiang region of Xizang and its role in the physical geographic processes of high mountains,,"Deng, Y. X.",Eastern Tien Shan,snow avalanches/physical geographic process,1980,RP,,,
17,"Snow avalanche detection using Sentinel-1 in Langtang, Nepal",,"Eckerstorfer, M. and Grahn, J.","HMA, Central Himalaya",snow avalanche RS,2021,RP,,,
18,The glacier ‘marriages’ in Pakistan’s high Himalayas,https://www.thethirdpole.net/en/climate/the-glacier-marriages-in-pakistans-high-himalayas,"Faraz, S.",HMA,Glacier marriages,2020,web,,,
19,Science on the Roof of the World: Empire and the Remaking of the Himalaya,,"Fleetwood, L.",HMA,,2022,book,,,
